NO.;KATA TIDAK BAKU;KATA BAKU
1;Abjat;Abjad
2;Akherat;Akhirat
3;Asesoris;Aksesori
4;Aktip;Aktif
5;Aquarium;Akuarium
6;Almunium;Aluminium
7;Ambulan;Ambulans
8;Analisa;Analisis
9;Antene;Antena
10;Antri;Antre
11;Anugrah;Anugerah
12;Apotik;Apotek
13;Azas;Asas
14;Azasi;Asasi
15;Atlit;Atlet
16;Atmosfir;Atmosfer
17;Otopsi;Autopsi
18;Balsem;Balsam
19;Batalyon;Batalion
20;Batere;Baterai
21;Bercermin;Becermin
22;Esok;Besok
23;Blangko;Blanko
24;Bok;Boks
25;Bosen;Bosan
26;Bis;Bus
27;Cabe;Cabai
28;Capek;Capai
29;Cidera;Cedera
30;Cendikiawan;Cendekiawan
31;Cengkeh;Cengkih
32;Cenderamata;Cinderamata
33;Coklat;Cokelat
34;Daptar;Daftar
35;Derajad;Derajat
36;Desaign;Desain
37;Detil;Detail
38;Deterjen;Detergen
39;Diagnosa;Diagnosis
40;Duren;Durian
41;Efektip;Efektif
42;Efektifitas;Efektivitas
43;Ekosistim;Ekosistem
44;Eksport;Ekspor
45;Extra;Ekstra
46;Ekstrakulikuler;Ekstrakurikuler
47;Ekstrim;Ekstrem
48;Elit;Elite
49;Pavorit;Favorit
50;Pebruari;Februari
51;Filem;Film
52;Finish;Finis
53;Formil;Formal
54;Photo;Foto
55;Photo Copy;Fotokopi
56;Fotosintesa;Fotosintesis
57;Frekwensi;Frekuensi
58;Group;Grup
59;Goa;Gua
60;Gubug;Gubuk
61;Hapal;Hafal
62;Hakekat;Hakikat
63;Hektar;Hektare
64;Hirarki;Hierarki
65;Higenis;Higienis
66;Hipotesa;Hipotesis
67;Idiologi;Ideologi
68;Ijasah;Ijazah
69;Iket;Ikat
70;Import;Impor
71;Indera;Indra
72;Intelejen;Intelijen
73;Interograsi;Interogasi
74;Interopeksi;Introspeksi
75;Ijin;Izin
76;Jadual;Jadwal
77;Jendral;Jenderal
78;Jerigen;Jeriken
79;Yunior;Junior
80;Kaca Mata;Kacamata
81;Kaedah;Kaidah
82;Kangguru;Kanguru
83;Kangker;Kanker
84;Karna;Karena
85;Karir;Karier
86;Kharisma;Karisma
87;Kharismatik;Karismatik
88;Katagori;Kategori
89;Kaos;Kaus
90;Kemaren;Kemarin
91;Ksatria;Kesatria
92;Kuatir;Khawatir
93;Club;Klub
94;Koboy;Koboi
95;Komoditi;Komoditas
96;Komplek;Kompleks
97;Komplit;Komplet
98;Konperensi;Konferensi
99;Konggres;Kongres
100;Kongkret;Konkret
